Country,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Réunion,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,,..,2.85443,3.24046,3.4959,3.42195,3.25867,3.45668,..,4.22328,..,4.16183,3.45849,3.02775,2.94604,..,3.12851,..,..,..
Russia,,..,2.93981,3.10602,3.83902,3.67854,3.54787,3.77193,3.86626,..,4.10175,..,..,..,3.78973,..,..,..,..,..
Rwanda,,4.57848,4.09511,5.66607,..,..,..,..,..,4.24101,3.7322,..,4.88533,4.64974,4.68883,4.96194,..,..,3.54689,..
Saint Helena,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis,,3.46419,4.7537,4.39821,3.90393,3.8237,4.00563,3.85992,4.11155,4.28887,..,..,..,..,..,..,..,2.77853,..,..
Saint Lucia,,6.47482,..,6.84897,..,4.23625,4.10427,5.06049,5.2521,..,4.68918,3.43973,3.86493,3.86032,3.59013,4.3121,4.33621,4.37418,5.71024,..
Saint Pierre and Miquelon,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,,5.75268,7.91364,..,7.80199,8.63783,..,6.35081,..,5.95477,..,5.68978,5.08523,..,..,..,..,..,5.77971,..
Saint-Barthélemy,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint-Martin (French part),,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Samoa,,4.01625,3.58293,3.82629,3.84139,..,..,..,..,..,5.14421,..,..,..,..,..,..,..,4.08105,..
San Marino,,..,..,..,..,..,..,..,..,..,..,..,2.3098,2.38292,..,..,..,..,..,..
Sao Tome and Principe,,..,..,..,2.8773,3.44044,3.51782,5.25116,4.53594,6.42994,5.55449,10.6779,9.65147,..,6.33951,5.93969,3.74928,..,..,..
Saudi Arabia,,7.07227,5.90982,7.71887,7.63689,7.10509,6.27747,5.43092,5.89117,..,5.13781,..,..,..,..,..,..,..,..,..
Senegal,,3.15144,3.15748,3.29467,3.39194,3.50941,3.85473,5.13696,4.7723,..,5.04807,6.19293,6.50137,6.06839,5.93447,7.24421,7.4014,7.10718,..,..
Serbia,,..,..,..,..,..,..,..,..,4.51091,4.70663,4.75188,4.58655,4.49298,4.42658,..,4.18025,4.04069,..,..
Seychelles,,5.261,..,..,5.19333,5.37493,..,..,4.77012,..,..,..,..,3.60644,..,..,..,..,..,..
